legId,isNonStop,totalFare,segmentsDepartureAirportCode,segmentsArrivalAirportCode,segmentsAirlineName,segmentsDepartureWeekday,segmentsDepartureTimeOfDay,segmentsArrivalWeekday,segmentsArrivalTimeOfDay,startingAirport,destinationAirport
b646fc0a9371c2aab0d94d2e7c047c02,false,300.6,ATL||IAH,IAH||SFO,United||United,1||1,19:45||23:00,1||2,22:00||03:30,ATL,SFO
dbe128767c8eb214d983aebf1947dd08,true,449.6,DFW,PHL,American Airlines,6,18:30,6,21:45,DFW,PHL
eae7fbe1fa5e488bd49beae1641a124f,false,246.1,ATL||CLT,CLT||DEN,American Airlines||American Airlines,1||1,09:15||11:45,1||1,10:30||15:15,ATL,DEN
76ca86f18b1a9e6a67bd0c097e254abe,false,772.1,IAD||ORF||ATL,ORF||ATL||SFO,United||Delta||Delta,7||7||7,12:30||16:15||19:45,7||7||1,13:30||18:15||01:00,IAD,SFO
5cd29a402ba590fd6095aec92cf82b8e,false,291.58,LAX||IAH,IAH||DTW,Spirit Airlines||Spirit Airlines,1||2,22:45||02:45,2||2,02:00||05:30,LAX,DTW
e336bc3d24f492bd35a32597ec8ef9e7,true,156.6,EWR,LAX,American Airlines,6,01:00,6,07:15,EWR,LAX
8c9ed8ade0cb3006e192e184ae4f871b,false,615.59,OAK||SEA,SEA||DEN,Alaska Airlines||Alaska Airlines,2||2,20:00||23:00,2||3,22:00||01:45,OAK,DEN
fd6324c132107ba2d270b15530b53bfb,false,499.2,JFK||PIT,PIT||ORD,Delta||United,4||4,13:00||22:00,4||4,14:45||00:00,JFK,ORD
d3376be5dac8eb0a68d1978228d69468,true,93.99,SFO,ATL,Frontier Airlines,7,06:30,7,11:15,SFO,ATL
6b26e768a34e7d69aa089bc1ec3acbbc,false,625.6,SFO||PHL,PHL||ORD,American Airlines||American Airlines,7||7,05:45||12:45,7||7,11:00||15:15,SFO,ORD
f2d920dbbf263c5bf1a32adb6e6f4589,true,388.6,LAX,DTW,Delta,4,20:15,5,00:30,LAX,DTW
bed0e3f931e017e4d6dffc621cc7303a,false,112.6,BOS||DCA,DCA||CLT,American Airlines||American Airlines,6||6,18:30||21:15,6||6,20:15||23:00,BOS,CLT
71f068c8e190900754c676b908644a43,true,248.6,BOS,DFW,Delta,4,23:00,5,03:15,BOS,DFW
79f44d5d1e49fc0d98ffe6ca2cfbafb7,false,564.61,LAX||PHX,PHX||CLT,American Airlines||American Airlines,1||1,16:45||21:00,1||2,18:15||01:15,LAX,CLT
c7b4d8c1071b7079bcbf6d8ad192e31d,false,309.7,JFK||LAX||PSP,LAX||PSP||SFO,United||United||United,2||3||3,22:45||05:45||14:45,3||3||3,05:00||06:45||16:30,JFK,SFO
